file_path,line_numbers,texts
online-editor/src/NoMatchPage.tsx,[45],"[""h1"", ""404""]"
online-editor/src/App.tsx,"[71, 86]","["":workspaceId""]"
online-editor/src/companionFs/CompanionFsService.ts,"[43, 109]","[""Can't delete companion file because it doesn't exist for file '${args.workspaceFileRelativePath}' on Workspace '${args.workspaceId}'"", ""Can't rename companion file because it doesn't exist for file '${args.workspaceFileRelativePath}' on Workspace '${args.workspaceId}'""]"
online-editor/src/i18n/setup.tsx,"[30, 31]","[""en"", ""de""]"
online-editor/src/i18n/OnlineI18n.ts,"[57, 382, 389, 405, 406, 411, 415, 416, 418, 421, 431, 436, 440, 444, 455, 456, 457, 458, 462, 466, 472]","[""icon"", ""file"", ""file"", ""folder"", ""file"", ""folder"", ""file"", ""file"", ""again"", ""file"", ""file"", ""file"", ""file"", ""file"", ""package"", ""package"", ""file"", ""file"", ""file"", ""file"", ""port""]"
online-editor/src/i18n/locales/en.ts,"[59, 120, 138, 168, 371, 441, 453, 471, 472, 479, 485, 489, 494, 496, 501, 511, 518, 524, 528, 539, 540, 541, 544, 550, 556, 566, 612, 627, 661, 676]","[""已连接到 '${username}'"", ""勾选此选项将不安全地禁用此账户的 TLS 证书验证。这可以避免当集群位于使用自签名证书的 HTTPS 端点时，浏览器带来的限制。但请注意，自签名证书的安全性较弱，建议联系集群管理员使用可信证书。更多信息请参考 <a href='https://cwe.mitre.org/data/definitions/295.html' target='_blank'>https://cwe.mitre.org/data/definitions/295.html</a>。"", ""development"", ""勾选此选项将不安全地禁用此账户的 TLS 证书验证。仅在信任 Git 提供方且其位于使用自签名证书的 HTTPS 端点时勾选此选项。请注意，自签名证书的安全性较弱，建议联系 Git 提供方以使用可信证书。更多信息请参考 <a href='https://cwe.mitre.org/data/definitions/295.html' target='_blank'>https://cwe.mitre.org/data/definitions/295.html</a>。"", ""icon"", ""打开 "", ""file"", "" 文件。"", ""将 "", ""file"", "" 拖到 "", ""folder"", "" 文件夹。"", ""file"", ""打开 "", ""folder"", "" 文件夹。"", ""file"", ""file"", ""again"", ""启动 "", ""file"", ""将 "", ""file"", "" 文件移动到首选文件夹。"", ""file"", ""打开放置 "", ""file"", "" 文件的文件夹。"", ""打开 "", ""file"", "" 文件。"", ""${en_common.names.ubuntu}: "", ""package"", ""${en_common.names.fedora}: "", ""package"", ""将 "", ""file"", "" 的内容解压到指定位置。"", ""file"", ""进入放置 "", ""file"", "" 可执行文件的文件夹。"", ""file"", ""port"", ""'${workspace}' 的内容将全部放入新的 ${en_common.names.bitbucket} 仓库中。"", ""'${workspace}' 的内容将全部放入新的 ${en_common.names.github} 仓库中。"", ""'${workspace}' 的内容将全部放入新的 ${en_common.names.bitbucket} 代码片段中。"", ""'${workspace}' 的内容将全部放入新的 ${en_common.names.github} Gist 中。""]"
online-editor/src/i18n/locales/de.ts,"[35, 37, 44, 51, 61, 67, 68, 70, 73, 76, 79, 80, 89, 96, 97, 98, 99, 105, 106, 109, 117, 118, 120, 134, 136, 144, 149, 153, 154, 168, 173, 177, 179, 187, 197, 206, 217, 220, 222, 234, 240, 253, 258, 263, 272, 282, 285, 288, 300, 301, 310, 311, 319, 324, 335, 344, 349, 353, 354, 367, 368, 373, 381, 387, 390, 401, 410, 415, 420, 422, 423, 427, 428, 430, 433, 434, 435, 436, 445, 457, 475, 476, 483, 489, 490, 492, 493, 497, 498, 500, 505, 507, 514, 515, 522, 528, 529, 532, 534, 543, 544, 545, 548, 555, 556, 559, 561, 563, 564, 565, 574, 577, 595, 596, 617, 619, 624, 628, 637, 652, 658, 666, 669, 673, 682, 697, 716, 721, 722, 723, 724, 727, 728, 729, 730]","[""Als Text öffnen"", ""Inhalt in Zwischenablage kopiert"", ""WARNUNG: Dadurch wird Ihre Gist mit den lokalen Änderungen überschrieben!"", ""Trotzdem fortfahren"", ""Schließen und zurück zur Startseite"", ""Speichern & Herunterladen"", ""Quellcode kopieren"", ""Gist erstellen"", ""Snippet erstellen"", ""Teilen"", ""Einbetten"", ""Dieser Accelerator ist unter folgender Adresse zu erreichen"", ""Andere Dateien werden verschoben nach:"", ""Andere Dateien wurden verschoben nach:"", ""Accelerator anwenden"", ""Der Accelerator wurde angewendet auf:"", ""Bereitstellen"", ""Mehr erfahren"", ""Ihre Deployments werden hier angezeigt"", ""Verbunden mit  '${username}'"", ""Alles löschen"", ""Unsichere Deaktivierung der TLS Zertifikat Validierung"", ""Bereitstellen"", ""Dev Deployment(s) löschen"", ""Sind Sie sicher, dass Sie Ihre Dev Deployment(s) löschen möchten?"", ""Entwicklung"", ""Anbieter"", ""Instanz erstellen"", ""Gehen Sie zur Seite Erste Schritte"", ""Verbinden"", ""Hier sind einige mögliche Ursachen:"", ""Anbieter"", ""Namespace"", ""Kubernetes API Server URL"", ""Erstellen Sie Ihren Cluster:"", ""Authentifizierung"", ""Fügen Sie das Token hier ein"", ""Verbinden"", ""Hier sind einige mögliche Ursachen:"", ""Integrieren"", ""Kopieren"", ""Aktueller Inhalt"", ""Code einbinden"", ""In Zwischenablage kopiert"", ""Neues Token generieren"", ""Fügen Sie Ihren Token hier ein"", ""Ihr Token muss die Scopes 'repo' und 'gist' enthalten."", ""Personal Access Token (classic)"", ""Ihr Token muss die Scopes 'account', 'repository' und 'snippet' enthalten."", ""Bitbucket Benutzername"", ""Fortfahren"", ""Siehe verknüpfte Konten"", ""Unsichere Deaktivierung der TLS Zertifikat Validierung"", ""Commit"", ""Vorhandene Datei bearbeiten"", ""Dateierweiterung wird nicht unterstützt"", ""Von der Quelle öffnen"", ""Neuen Workflow erstellen"", ""Neues Entscheidungsmodell erstellen"", ""Neue Scorecard erstellen"", ""Beispiel ausprobieren"", ""Eine lokale Datei auswählen"", ""Gehe zur Startseite"", ""Fehlerdetails:"", ""Beim Abrufen Ihrer Datei ist ein Fehler aufgetreten"", ""Ein unerwarteter Fehler trat auf, während Sie versuchten, Ihre Datei zu holen"", ""Mögliche Ursachen:"", ""Wenn Sie versuchen, eine private Datei zu öffnen, stellen Sie sicher, dass Sie zuvor Ihr GitHub-Token festlegen. Verwenden Sie dazu eine der Editor-Seiten und öffnen Sie das Modal \""GitHub-Token festlegen\"" unter dem Dropdown-Menü \""Teilen\"""", ""Die URL zu Ihrer Datei muss CORS in ihrer Antwort zulassen, die den folgenden Header enthalten sollte:"", ""icon"", ""file"", ""-Datei öffnen."", ""Ziehen Sie "", ""file"", "" in den "", ""folder"", "" Ordner."", ""file"", ""Öffnen Sie den "", ""folder"", "" Ordner."", ""Nochmals"", ""Rechtsklick auf "", ""file"", ""Rechtsklick auf "", ""file"", ""again"", ""Starten Sie die "", ""file"", ""Erweiterte Einstellungen"", "" ${de_common.names.extendedServices}. Beachten Sie, dass Sie wahrscheinlich mit der rechten Maustaste auf den Download klicken und \""Behalten\"" wählen müssen"", ""Verschieben Sie die "", ""file"", "" Datei in Ihren bevorzugten Ordner."", ""file"", ""Öffnen Sie den Ordner, in dem Sie die "", ""file"", "" Datei abgelegt haben."", ""Öffnen Sie die "", ""file"", "" Datei."", ""Erweiterte Einstellungen"", ""${de_common.names.ubuntu}: "", ""package"", ""${de_common.names.fedora}: "", ""package"", ""Extrahieren Sie den Inhalt von "", ""file"", "" an einen Ort Ihrer Wahl."", ""file"", ""Wechseln Sie zu dem Ordner, in dem Sie die ausführbare Datei "", ""file"", ""Ausführen"", ""Erweiterte Einstellungen"", ""Öffnen Sie ein Terminalfenster und führen Sie den folgenden Befehl in dem Verzeichnis aus, in dem Sie die ausführbare Datei "", ""file"", "" abgelegt haben:"", ""port"", "" Port"", ""Erstellen"", ""Name"", ""Öffentlich"", ""Privat"", ""Der Inhalt von '${workspace}' wird in das neue ${de_common.names.bitbucket} Repository übernommen."", ""Der Inhalt von '${workspace}' wird in das neue ${de_common.names.github} repository übernommen."", ""Das neue Repository wird unter dem folgenden Scope erstellt"", ""Erstellen"", ""Öffentlich"", ""Privat"", ""Der Inhalt des '${workspace}' wird in dem neuen ${de_common.names.bitbucket} Snippet verfügbar gemacht."", ""Der Inhalt des '${workspace}' wird in dem neuen ${de_common.names.github} Gist verfügbar gemacht."", ""GitHub Organisationen"", ""Rückgängig machen"", ""Diese Aktion ist permanent"", ""Sind Sie sicher, dass Sie lokale Änderungen rückgängig machen wollen an: "", ""Ja, dauerhaft rückgängig machen"", ""Alle Änderungen rückgängig machen"", ""Diese Aktion ist permanent"", ""Sind Sie sicher? Die folgenden Dateien werden auf den letzten Commit zurückgesetzt:"", ""Ja, dauerhaft rückgängig machen""]"
online-editor/src/bitbucket/Hooks.tsx,"[27, 28, 131, 158, 160, 166, 175, 176, 179, 193, 199, 201, 205, 219, 253, 258]","[""UNDEFINED"", ""BASIC"", ""Basic "", "":"", ""base64"", ""?format=meta"", ""get"", ""post"", ""branch"", ""message"", ""post"", ""get"", ""file"", ""text/plain"", ""title"", ""post"", ""get"", ""git"", ""bitbucket""]"
online-editor/src/cookies/index.ts,[34],"[""="", ""; expires="", ""; path=/""]"
online-editor/src/accelerators/AcceleratorsHooks.tsx,"[75, 78, 93, 107, 186, 188]","[""sm""]"
